profile_id,account_age,verified_status,number_of_jobs_applied,response_rate,completion_rate,feedback_score,total_earnings,last_login_ip,last_login_time,device_type,number_of_refunds,reported_fraud
1,1 month,unverified,79,0.16,0.88,1.7,3485,162.14.224.34,2024-04-23 16:12:11,Tablet,4,True
2,6 months,verified,61,0.24,0.26,4.1,5451,130.176.110.211,2024-01-26 00:50:05,Tablet,2,False
3,6 months,unverified,78,0.46,0.12,4.3,3187,157.234.252.178,2024-04-09 01:59:26,Mobile,3,True
4,3 years,verified,27,0.34,0.56,4.5,6830,218.97.148.177,2024-03-03 10:04:56,PC,1,False
5,6 months,unverified,26,0.72,0.91,1.4,8298,216.5.192.155,2024-09-22 03:50:10,Tablet,2,True
6,1 year,verified,15,0.8,0.38,3.9,6150,191.24.177.116,2024-03-28 08:23:39,Mobile,4,True
7,1 month,unverified,25,0.55,0.83,4.3,2484,207.248.73.212,2024-01-27 03:39:27,Mobile,0,False
8,2 years,unverified,66,0.88,0.89,2.6,8814,114.104.42.196,2024-09-22 10:32:14,Mobile,4,False
9,6 months,verified,98,0.27,0.87,2.1,5965,85.110.45.72,2024-04-19 21:38:08,Mobile,2,True
10,2 years,verified,28,0.41,0.57,1.8,8876,146.151.37.93,2024-06-02 01:51:23,Tablet,2,False
11,3 years,unverified,69,0.51,0.74,1.5,2781,150.50.238.223,2024-07-17 12:53:22,PC,0,False
12,2 years,verified,24,0.76,0.59,2.9,5703,136.139.196.148,2024-04-25 00:58:08,PC,0,False
13,2 years,verified,87,0.84,0.24,2.3,6467,124.35.255.91,2024-03-11 18:17:01,Tablet,0,True
14,6 months,verified,51,0.37,0.29,4.7,8423,215.126.111.130,2024-04-28 16:12:10,Tablet,1,True
15,1 year,verified,48,0.75,0.7,4.3,4647,209.124.161.203,2024-08-26 17:50:33,Mobile,2,False
16,1 year,unverified,49,0.59,0.22,2.4,9219,73.228.69.149,2024-04-03 22:36:07,Tablet,5,False
17,1 month,verified,28,0.32,0.7,3.7,2543,210.141.228.139,2024-10-03 01:43:52,Mobile,2,True
18,2 years,verified,41,0.69,0.96,1.1,7089,152.50.241.252,2024-03-07 00:59:24,Mobile,1,True
19,1 month,unverified,41,0.29,0.91,3.4,2112,161.149.73.64,2024-02-28 00:27:11,PC,4,False
20,6 months,unverified,40,0.98,0.81,3.3,5316,205.132.41.178,2024-09-24 20:39:26,PC,1,True
21,2 years,unverified,83,0.33,0.46,2.0,3452,165.44.203.206,2024-06-11 09:35:59,Mobile,4,False
22,1 year,verified,36,0.96,0.6,2.7,6746,114.115.131.10,2024-06-26 13:50:17,Tablet,0,True
23,6 months,verified,35,0.25,0.93,2.7,8300,14.184.243.233,2024-09-08 13:32:44,PC,5,False
24,2 years,verified,3,0.62,0.13,2.1,5393,67.238.148.0,2024-03-14 05:28:51,Tablet,4,True
25,3 years,unverified,51,0.26,0.18,2.3,8103,175.80.58.225,2024-01-24 10:58:20,PC,0,False
26,6 months,unverified,93,0.45,0.69,1.2,2323,42.100.221.171,2024-07-15 11:05:06,Mobile,4,False
27,6 months,unverified,35,0.13,0.47,3.0,9690,142.224.225.6,2024-01-20 12:52:26,Tablet,4,False
28,1 month,verified,24,0.85,0.14,1.4,9596,149.252.198.97,2024-03-06 06:50:44,Tablet,3,True
29,2 years,verified,45,0.41,0.55,3.1,3728,220.210.142.155,2024-07-01 15:15:57,PC,5,True
30,2 years,verified,41,0.48,0.33,1.3,3857,65.45.174.29,2024-02-14 07:29:52,PC,5,False
31,1 month,verified,97,0.44,0.23,3.0,4874,83.84.201.24,2024-03-12 00:01:01,Mobile,4,True
32,3 years,unverified,60,0.36,0.95,2.2,4600,39.21.143.45,2024-05-01 20:37:35,Tablet,3,True
33,1 year,verified,8,0.65,0.77,2.7,3271,215.118.146.88,2024-09-09 23:43:16,Mobile,1,False
34,3 years,verified,17,0.74,0.12,4.4,7896,190.171.77.66,2024-03-12 15:58:22,PC,1,True
35,1 year,verified,54,0.39,0.12,4.5,7479,192.50.72.183,2024-06-18 19:54:13,PC,1,False
36,2 years,verified,84,0.99,0.48,3.3,557,188.49.191.236,2024-02-18 10:00:42,Tablet,1,True
37,3 years,unverified,49,0.31,0.49,3.2,4293,172.158.193.72,2024-05-09 01:46:16,PC,4,True
38,6 months,verified,53,0.48,0.39,1.7,2044,213.78.220.49,2024-06-28 08:46:20,PC,3,True
39,2 years,verified,31,0.22,0.72,1.7,2796,43.38.231.182,2024-06-06 23:55:53,Tablet,5,False
40,1 month,verified,55,0.41,0.59,3.4,3282,170.40.118.175,2024-03-07 13:40:02,Tablet,5,True
41,6 months,verified,21,0.46,0.44,4.0,669,42.194.255.185,2024-07-11 03:26:04,Mobile,5,False
42,2 years,verified,12,0.74,0.58,3.8,8232,220.133.33.112,2024-01-06 22:26:28,Tablet,4,True
43,1 month,verified,44,0.39,0.76,2.2,7949,161.249.199.141,2024-08-07 16:14:14,Mobile,3,True
44,2 years,verified,50,0.41,0.64,1.3,7927,209.167.37.110,2024-07-17 13:05:58,Mobile,5,True
45,2 years,unverified,71,0.53,0.4,3.9,8603,95.179.240.60,2024-06-10 05:19:09,Tablet,1,True
46,2 years,unverified,99,0.5,0.47,1.5,8495,183.35.172.186,2024-01-19 11:30:59,Mobile,0,False
47,2 years,verified,68,0.21,0.92,3.0,8342,207.3.57.203,2024-02-28 23:58:16,PC,0,True
48,1 month,unverified,42,1.0,0.63,1.2,7768,195.129.192.105,2024-01-08 04:39:16,PC,5,True
49,6 months,verified,76,0.2,0.51,4.4,7809,216.210.47.1,2024-03-01 09:25:25,Mobile,3,True
50,2 years,unverified,63,0.71,0.75,4.9,9515,193.32.240.184,2024-06-24 09:04:05,Mobile,1,True
51,3 years,unverified,45,0.96,0.18,2.6,345,23.39.139.64,2024-01-05 15:17:10,Tablet,1,True
52,6 months,verified,6,0.37,0.34,3.9,6828,119.116.158.70,2024-02-27 13:18:02,PC,2,True
53,1 month,unverified,70,0.81,0.58,3.4,9141,196.72.208.87,2024-10-02 19:31:08,Mobile,3,True
54,2 years,verified,95,0.13,0.41,3.9,6674,38.239.231.174,2024-05-17 09:58:22,Tablet,3,False
55,3 years,verified,26,0.9,0.34,4.2,1757,202.202.1.54,2024-05-12 18:16:44,Mobile,2,False
56,1 year,unverified,69,0.28,0.11,4.6,5107,140.12.13.188,2024-07-05 03:54:21,Mobile,1,False
57,2 years,unverified,57,0.99,0.78,3.0,1928,61.182.239.184,2024-09-25 00:07:20,Mobile,5,True
58,3 years,verified,66,0.7,0.94,2.6,4050,153.89.214.221,2024-07-07 09:45:04,Tablet,0,False
59,3 years,unverified,69,0.85,0.84,1.3,8096,178.59.195.107,2024-09-06 16:38:30,Tablet,0,True
60,3 years,verified,6,0.9,0.33,4.1,5183,141.221.175.77,2024-03-07 16:15:00,PC,4,True
61,1 year,unverified,40,0.99,0.19,1.7,5303,180.64.82.168,2024-09-06 19:14:58,Tablet,0,False
62,1 year,unverified,4,0.26,0.42,2.2,7131,196.146.24.164,2024-01-14 01:13:04,Mobile,2,True
63,3 years,verified,1,0.21,0.94,4.8,9939,20.160.213.122,2024-07-27 16:17:39,Mobile,2,True
64,6 months,unverified,78,0.11,0.11,2.6,2775,205.66.44.142,2024-05-19 00:42:37,Tablet,3,True
